"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20"
"A1",10,18,19,15,6,16,4,20,3,5,12,1,2,9,17,8,7,14,13,11
"A2",10,18,19,17,11,15,6,20,4,3,13,1,2,7,16,8,5,12,9,14
"A3",12,15,18,16,13,11,7,20,6,3,8,2,1,4,19,5,9,14,10,17
"A4",9,17,19,16,10,15,5,20,3,4,8,1,2,7,18,11,6,13,14,12
"A5",12,17,19,15,7,16,2,20,3,9,13,1,4,5,18,11,6,8,10,14
"A6",10,15,19,16,8,18,6,20,3,7,11,1,2,4,17,9,5,13,12,14
"A7",9,16,19,17,10,15,5,20,3,8,11,1,2,6,18,7,4,14,12,13
"A8",14,18,20,19,11,15,6,17,4,3,10,1,2,7,16,8,5,12,9,13
"A9",8,16,18,19,12,13,6,20,5,3,7,1,4,2,17,10,9,15,14,11
"A10",7,17,19,18,9,15,5,20,3,10,11,1,2,6,16,8,4,13,12,14
"A11",12,16,19,15,13,18,7,20,3,5,11,1,2,6,17,10,4,14,8,9
"A12",14,15,19,16,12,18,8,20,3,4,9,1,2,7,17,6,5,13,10,11
